round,cnt,moving_loss,avg_moving_loss,trained_size
1,200,842.5491658003342,4.212745829001671,78200
2,200,644.5320960566687,3.2226604802833436,72100
3,201,587.2607324215405,2.9216951861768186,80300
4,200,556.997111034295,2.7849855551714753,80000
5,200,531.8724909630678,2.659362454815339,78100
6,200,488.9497273212339,2.4447486366061697,73800
7,200,476.07602953426147,2.3803801476713073,80000
8,201,450.55244047406615,2.2415544302192347,75200
9,201,433.78632366665914,2.1581409137644734,78500
10,200,401.2795335062595,2.0063976675312976,80000
11,200,382.0765472155468,1.910382736077734,80000
12,201,371.17825333363254,1.8466579767842415,80400
13,201,341.4173893949383,1.6985939770892453,74300
14,201,340.71196144297113,1.6950843852884137,75300
15,200,313.3635158886961,1.5668175794434804,77800
16,200,329.68359642538434,1.6484179821269216,76200
17,200,324.7541913734345,1.6237709568671723,80000
18,201,301.02029796439183,1.497613422708417,78500
19,200,298.2254627556375,1.4911273137781875,74200
20,200,296.8393619249457,1.4841968096247284,80000
21,200,283.1744190767101,1.4158720953835504,74300
22,201,278.1955279545566,1.3840573530077442,74000
23,200,283.65522998064813,1.4182761499032406,78100
24,200,257.02715475041254,1.2851357737520628,76700
25,200,272.5023583369488,1.362511791684744,77400
26,200,244.14710172372494,1.2207355086186247,74300
27,200,260.72180728047914,1.3036090364023958,70700
28,200,265.70696343535496,1.3285348171767748,76200
29,200,249.8401803350797,1.2492009016753984,78100
30,200,240.7880910820646,1.203940455410323,78100
31,201,242.52118495345528,1.2065730594699267,80400
32,201,247.71532239340883,1.2324145392706907,80400
33,200,249.78265261232804,1.2489132630616402,80000
34,200,228.41459518145112,1.1420729759072556,74300
35,201,229.97186047413047,1.1441386093240322,78300
36,200,214.83913241437313,1.0741956620718656,74000
37,200,209.58204067468276,1.0479102033734138,76200
38,201,225.37230966867853,1.1212552719834752,79300
39,200,196.37104863023583,0.9818552431511791,79300
40,200,223.18944386040903,1.1159472193020452,76800
41,201,214.8353176041588,1.0688324258913373,76900
42,201,214.600256150602,1.0676629659233932,80400
43,200,221.86019932003921,1.109300996600196,79400
44,200,228.2554090427607,1.1412770452138035,76200
45,200,223.66869011700464,1.1183434505850232,80000
46,200,220.42481822827864,1.1021240911413932,78100
47,200,206.50183466865806,1.0325091733432903,78100
