round,round_time,sched_delay,response_collection_time
1,609.6856291294098,94.87479257583618,154.61983180046082
2,850.1401612758636,75.11834335327148,165.33562302589417
3,1081.993213891983,75.91791915893555,155.93491315841675
4,1467.557446718216,116.03454637527466,149.45347380638123
5,1931.6875126361847,72.1240074634552,151.87531542778015
6,2158.8380913734436,78.8805284500122,148.2695610523224
7,2446.2561328411102,26.75320315361023,140.58331775665283
8,2670.583617210388,74.98085832595825,149.34650015830994
9,2961.6637580394745,32.36481070518494,138.63646173477173
10,3169.8046452999115,75.25212621688843,132.8887481689453
11,3522.5419013500214,88.77353024482727,143.87264800071716
12,3750.4607305526733,93.60036706924438,134.31824111938477
13,4085.1030642986298,76.53346681594849,138.03075242042542
14,4400.955707073212,47.47499227523804,148.30037927627563
15,5007.953242778778,112.91311812400818,133.90440702438354
16,5471.588424682617,89.22784280776978,134.2813596725464
17,5721.614557027817,105.929190158844,144.09676909446716
18,5928.420996665955,60.313377141952515,146.49236798286438
19,6466.981999397278,26.550779342651367,151.820476770401
20,6692.490032672882,98.01380610466003,127.49326157569885
21,6951.558006763458,110.11659264564514,148.95114398002625
22,7360.431638717651,26.75894808769226,141.98894047737122
23,7773.740931272507,55.53940200805664,117.63365936279297
24,45787.39858961105,80.39698076248169,110.24930047988892
25,46567.31175971031,52.36166524887085,127.01058340072632
26,47385.62825632095,82.63164710998535,135.30935525894165
