round,cnt,moving_loss,avg_moving_loss,trained_size
1,150,667.18840722319,4.447922714821266,60000
2,150,496.01909315939344,3.3067939543959564,60000
3,150,457.8192117835448,3.0521280785569656,60000
4,150,444.3532585522827,2.962355057015218,60000
5,150,424.8835959385741,2.8325573062571605,60000
6,150,406.85942296525496,2.7123961531017,60000
7,150,380.6998535878577,2.5379990239190513,60000
8,150,369.7645816149979,2.4650972107666527,60000
9,150,343.99112686329966,2.293274179088664,60000
10,150,334.5980582266134,2.230653721510756,60000
11,150,333.2868734511507,2.221912489674338,60000
12,150,307.936504844662,2.052910032297747,60000
13,150,309.5526450922277,2.063684300614851,60000
14,150,298.7042887556661,1.9913619250377739,60000
15,150,285.9959852829515,1.9066399018863434,60000
16,150,274.9207785321914,1.8328051902146092,60000
17,150,280.68394318612303,1.8712262879074868,60000
18,150,273.24694899297486,1.8216463266198324,60000
19,150,258.66636380804977,1.7244424253869985,60000
20,150,255.33084343979573,1.7022056229319715,60000
21,150,261.8119660748195,1.7454131071654635,60000
22,150,255.1874259786893,1.7012495065245954,60000
23,150,237.13314188282948,1.5808876125521965,60000
24,150,249.96873787634684,1.6664582525089788,60000
25,150,242.3167639142967,1.615445092761978,60000
26,150,249.20631170969614,1.6613754113979742,60000
27,150,250.8419901880801,1.6722799345872006,60000
28,150,239.62545808049882,1.5975030538699921,60000
29,150,234.08863947109242,1.5605909298072829,60000
30,150,231.63454076729346,1.5442302717819565,60000
31,150,225.19678440077035,1.5013118960051357,60000
32,150,226.4173134683001,1.509448756455334,60000
33,150,220.91473309067476,1.472764887271165,60000
34,150,222.1359310508009,1.4809062070053394,60000
35,150,222.4952468569626,1.483301645713084,60000
36,150,216.31010825135021,1.4420673883423347,60000
37,150,213.76273926119026,1.425084928407935,60000
38,150,221.06588567449984,1.4737725711633323,60000
39,150,213.5705189469777,1.4238034596465179,60000
40,150,202.19451855608904,1.3479634570405936,60000
41,150,197.39683644902811,1.3159789096601875,60000
42,150,206.4562455156301,1.3763749701042005,60000
43,150,206.3273619500422,1.3755157463336145,60000
44,150,195.7197929904357,1.304798619936238,60000
45,150,196.74060753605707,1.3116040502403805,60000
46,150,201.28370729012087,1.3418913819341391,60000
47,150,195.27800284379992,1.3018533522919995,60000
48,150,201.45536862081423,1.3430357908054282,60000
49,150,190.73906654596126,1.2715937769730752,60000
50,150,187.58592747866052,1.2505728498577369,60000
51,150,195.10707631228885,1.3007138420819258,60000
52,150,187.6618148653718,1.2510787657691453,60000
53,150,174.13503016954013,1.1609002011302676,60000
54,150,179.96650194630172,1.1997766796420115,60000
55,150,182.51362566823596,1.2167575044549064,60000
56,150,184.315489899781,1.2287699326652066,60000
57,150,181.74867111947918,1.2116578074631945,60000
58,150,181.60663505467974,1.2107109003645316,60000
59,150,178.98154946480568,1.1932103297653711,60000
60,150,174.36257538936812,1.162417169262454,60000
61,150,171.49927539758897,1.1433285026505933,60000
62,150,175.33888762640805,1.1689259175093871,60000
63,150,177.69078190503035,1.1846052127002022,60000
64,150,171.41653484437688,1.1427768989625127,60000
65,150,169.20502517603586,1.1280335011735725,60000
66,150,172.8586148375264,1.1523907655835093,60000
67,150,170.7447919506823,1.1382986130045487,60000
68,150,172.29855025259215,1.1486570016839477,60000
69,150,167.34614221627584,1.1156409481085057,60000
70,150,165.5218821244111,1.1034792141627405,60000
71,150,171.8036240014717,1.1453574933431445,60000
72,150,163.93742139520882,1.0929161426347254,60000
73,150,158.6902069877763,1.057934713251842,60000
74,150,168.17643500606835,1.121176233373789,60000
75,150,168.09185460300148,1.1206123640200099,60000
76,150,165.61239513614268,1.104082634240951,60000
77,150,160.91807419315984,1.0727871612877322,60000
78,150,168.60229187204754,1.1240152791469837,60000
79,150,162.07654927751648,1.0805103285167765,60000
80,150,164.12916120005755,1.0941944080003836,60000
81,150,159.43645456771443,1.0629096971180962,60000
82,150,154.82574013540207,1.0321716009026805,60000
83,150,156.73312298498087,1.0448874865665392,60000
84,150,153.88308991137407,1.0258872660758271,60000
85,150,159.4995991872959,1.0633306612486393,60000
86,150,150.2185788374055,1.00145719224937,60000
87,150,160.27482345744423,1.0684988230496282,60000
88,150,158.5717612774744,1.0571450751831626,60000
89,150,149.32652956931975,0.9955101971287983,60000
90,150,149.87606501502714,0.9991737667668475,60000
91,150,160.1792262741598,1.0678615084943985,60000
92,150,150.06526392498984,1.0004350928332655,60000
93,150,155.95976789154744,1.0397317859436497,60000
94,150,156.65213681013725,1.0443475787342484,60000
95,150,157.7210774730885,1.05147384982059,60000
96,150,149.52540414011642,0.9968360276007762,60000
97,150,154.62046791881903,1.0308031194587934,60000
98,150,150.5316878765132,1.0035445858434213,60000
99,150,157.7752342396818,1.051834894931212,60000
100,150,162.54109125619294,1.0836072750412862,60000
101,150,154.20765789068946,1.0280510526045965,60000
102,150,150.87750175564693,1.005850011704313,60000
103,150,158.77007363223106,1.058467157548207,60000
104,150,160.62834382026605,1.0708556254684403,60000
105,150,153.79453648382355,1.025296909892157,60000
106,150,161.8812995715442,1.0792086638102947,60000
107,150,154.2990121799636,1.0286600811997573,60000
108,150,147.4456579719541,0.9829710531463606,60000
109,150,153.44240592287963,1.0229493728191976,60000
110,150,150.8402370118269,1.005601580078846,60000
111,150,157.33794014333512,1.0489196009555675,60000
112,150,150.55928226598564,1.0037285484399043,60000
113,150,148.94733271620092,0.9929822181080061,60000
114,150,149.9789351379095,0.9998595675860633,60000
115,150,148.37564469650104,0.9891709646433403,60000
116,150,144.29082456842357,0.9619388304561571,60000
117,150,152.65764060151596,1.0177176040101064,60000
118,150,145.84786192540798,0.9723190795027199,60000
119,150,151.65136256702735,1.0110090837801824,60000
120,150,147.46678047964642,0.9831118698643094,60000
121,150,157.56412975187666,1.0504275316791778,60000
122,150,151.12719086627416,1.0075146057751612,60000
123,150,150.296571180537,1.00197714120358,60000
124,150,153.24749644585128,1.0216499763056752,60000
125,150,154.74772912854252,1.0316515275236169,60000
126,150,158.6826653879365,1.0578844359195767,60000
127,150,149.46533605045042,0.9964355736696695,60000
128,150,142.31256565832453,0.9487504377221635,60000
129,150,141.78314084563516,0.9452209389709011,60000
130,150,141.6055727058835,0.9440371513725567,60000
131,150,144.24308454005453,0.9616205636003635,60000
132,150,143.83453134889834,0.9588968756593222,60000
133,150,147.44361217643947,0.9829574145095965,60000
134,150,140.3303099110807,0.9355353994072046,60000
135,150,141.51292972108374,0.9434195314738916,60000
136,150,142.41148237806286,0.949409882520419,60000
137,150,145.46894634531117,0.9697929756354078,60000
138,150,140.72866754954077,0.9381911169969385,60000
139,150,138.03942749201283,0.9202628499467522,60000
140,150,145.34922432778075,0.9689948288518716,60000
141,150,146.685328227062,0.9779021881804133,60000
142,150,139.6798814433405,0.93119920962227,60000
143,150,146.51254513527627,0.9767503009018418,60000
144,150,144.01255133189738,0.9600836755459826,60000
145,150,146.65047004496392,0.9776698002997595,60000
146,150,145.62475502249453,0.9708317001499635,60000
147,150,138.24497045191768,0.9216331363461179,60000
148,150,134.40818331008674,0.8960545554005783,60000
149,150,154.81867463780677,1.0321244975853785,60000
150,150,137.64370606849644,0.9176247071233096,60000
