round,cnt,moving_loss,avg_moving_loss,trained_size
1,200,808.1850096144155,4.0409250480720775,80000
2,200,624.0636510554316,3.120318255277158,80000
3,200,593.3061547415256,2.966530773707628,80000
4,200,559.3803255951926,2.7969016279759633,80000
5,200,518.3866714463372,2.591933357231686,80000
6,200,466.2763310655763,2.3313816553278817,80000
7,200,450.8987013579521,2.2544935067897605,80000
8,200,424.0129326138451,2.1200646630692255,80000
9,200,410.5443590108613,2.0527217950543064,80000
10,200,385.7825929278635,1.9289129646393175,80000
11,200,351.31486271252743,1.756574313562637,80000
12,200,350.81955415393384,1.7540977707696692,80000
13,200,343.6291580431331,1.7181457902156654,80000
14,200,343.52955383350206,1.7176477691675103,80000
15,200,320.1546568237209,1.6007732841186046,80000
16,200,338.5626641052954,1.692813320526477,80000
17,200,329.0619249284923,1.6453096246424617,80000
18,200,307.59375863637166,1.5379687931818582,80000
19,200,294.00291760801935,1.4700145880400968,80000
20,200,296.46620500400627,1.4823310250200314,80000
21,200,287.7353059948509,1.4386765299742543,80000
22,200,275.5300640152768,1.377650320076384,80000
23,200,267.0627425265438,1.335313712632719,80000
24,200,266.2389842096853,1.3311949210484266,80000
25,200,264.4429457495716,1.322214728747858,80000
26,200,268.51204130440715,1.3425602065220357,80000
27,200,249.4857249880903,1.2474286249404516,80000
28,200,267.06575552386533,1.3353287776193268,80000
29,200,230.45462266481871,1.1522731133240935,80000
30,200,247.5059750945157,1.2375298754725785,80000
31,200,254.41925265858086,1.2720962632929043,80000
32,200,224.14982807626265,1.1207491403813132,80000
33,200,232.85841072262613,1.1642920536131307,80000
34,200,230.92032580801254,1.1546016290400627,80000
35,200,220.54459368846602,1.10272296844233,80000
36,200,230.34810031441566,1.1517405015720783,80000
37,200,219.2727944806207,1.0963639724031033,80000
38,200,233.3898762159205,1.1669493810796026,80000
39,200,226.2280982121778,1.131140491060889,80000
40,200,213.93410737440811,1.0696705368720405,80000
41,200,221.7350715973427,1.1086753579867135,80000
42,200,241.10665540302276,1.2055332770151137,80000
43,200,223.8336383670742,1.119168191835371,80000
44,200,221.2375785750262,1.106187892875131,80000
45,200,219.18093493345157,1.0959046746672578,80000
46,200,201.2378228110885,1.0061891140554424,80000
47,200,214.7664331092043,1.0738321655460217,80000
48,200,208.2497646476206,1.041248823238103,80000
49,200,221.55831626184445,1.1077915813092223,80000
50,200,200.04142232110638,1.000207111605532,80000
51,200,213.97530113007738,1.069876505650387,80000
52,200,211.68196820360612,1.0584098410180305,80000
53,200,223.77411867346157,1.1188705933673078,80000
54,200,214.17968458235413,1.0708984229117706,80000
55,200,203.58058274895612,1.0179029137447806,80000
56,200,215.65724898923446,1.0782862449461723,80000
57,201,222.4176971496911,1.1065557072123935,80400
58,200,193.16846957024586,0.9658423478512294,80000
59,200,205.33036591981002,1.02665182959905,80000
60,200,211.46988665100824,1.0573494332550413,80000
61,200,210.2724875209049,1.0513624376045245,80000
62,200,204.16277992711716,1.0208138996355858,80000
63,200,208.9461195353291,1.0447305976766454,80000
64,200,207.71769443805496,1.0385884721902747,80000
65,200,205.3745229887502,1.026872614943751,80000
66,200,199.42324993341634,0.9971162496670817,80000
67,200,188.40279065671248,0.9420139532835624,80000
68,200,198.40293538515513,0.9920146769257756,80000
69,200,195.20652826552367,0.9760326413276184,80000
70,200,188.8032103793726,0.9440160518968629,80000
71,200,189.99173634429167,0.9499586817214584,80000
72,200,200.55689233030276,1.0027844616515138,80000
73,200,195.41127106111406,0.9770563553055703,80000
74,200,195.999820349573,0.9799991017478651,80000
75,200,203.22159134676525,1.0161079567338263,80000
76,200,193.57035820544405,0.9678517910272203,80000
77,200,188.3907913021235,0.9419539565106174,80000
78,200,191.88698626251883,0.9594349313125942,80000
79,200,187.75551982542842,0.9387775991271421,80000
80,200,192.4595982660698,0.962297991330349,80000
81,200,179.88174864636576,0.8994087432318288,80000
82,200,195.69851754981948,0.9784925877490974,80000
83,200,185.65407917674185,0.9282703958837092,80000
84,200,186.35403658120515,0.9317701829060258,80000
85,200,195.11515661561728,0.9755757830780865,80000
86,200,178.15095366879515,0.8907547683439758,80000
87,200,184.8540773545043,0.9242703867725216,80000
88,200,186.86734792581822,0.9343367396290911,80000
89,200,189.9612542014129,0.9498062710070646,80000
90,200,180.3182569932983,0.9015912849664914,80000
91,200,183.59402237952767,0.9179701118976383,80000
92,200,180.94841263210333,0.9047420631605166,80000
93,200,187.03651528061727,0.9351825764030863,80000
94,200,183.72947612052846,0.9186473806026423,80000
95,200,181.3560836693496,0.906780418346748,80000
96,200,181.41262562431103,0.9070631281215552,80000
97,200,181.97554429775306,0.9098777214887653,80000
98,200,180.68458905853723,0.9034229452926862,80000
99,200,186.79761633611406,0.9339880816805703,80000
100,200,180.63690045073415,0.9031845022536708,80000
101,200,186.48892513017435,0.9324446256508717,80000
102,200,180.50358395599187,0.9025179197799593,80000
103,200,176.9077646321382,0.884538823160691,80000
104,200,177.54768360875067,0.8877384180437534,80000
105,200,182.06078059314524,0.9103039029657262,80000
106,200,177.59830289957233,0.8879915144978616,80000
107,200,167.26668797162958,0.8363334398581479,80000
108,200,175.9469549843513,0.8797347749217564,80000
109,200,170.58643651202945,0.8529321825601472,80000
110,200,172.49093087802302,0.8624546543901151,80000
111,200,188.70468853021563,0.9435234426510781,80000
112,200,182.04310341294232,0.9102155170647116,80000
113,200,182.65223735119324,0.9132611867559661,80000
114,200,175.84238153786396,0.8792119076893198,80000
115,200,184.6288143796914,0.9231440718984569,80000
116,200,171.87729340495065,0.8593864670247533,80000
117,200,165.59036270903775,0.8279518135451888,80000
118,200,179.64833805306415,0.8982416902653207,80000
119,200,194.59026383602057,0.9729513191801028,80000
120,200,184.99090409988767,0.9249545204994384,80000
121,200,184.93003321891663,0.9246501660945832,80000
122,200,178.7693494524465,0.8938467472622326,80000
123,200,175.55493221243933,0.8777746610621966,80000
124,200,171.94325610498447,0.8597162805249223,80000
